scenario,profit_EUR
1039,478076.82655
1040,654648.727785
1041,718709.405105
1042,707641.359425
1043,667591.1847450001
1044,641847.584505
1045,707149.347865
1046,695632.8799450002
1047,654359.514145
1048,494738.25225499994
1049,531526.390055
1050,552909.9946950001
1051,511535.929495
1052,81588.48151
1053,91596.81911
1054,88563.91431000001
1055,84202.65110999999
1056,211910.178135
1057,232742.932775
1058,229525.667975
1059,220973.749175
1060,266122.486655
1061,293979.728215
1062,294338.740615
1063,280233.32141499995
1064,79141.403175
1065,89834.168415
1066,92820.656495
1067,86844.55001499999
1068,38535.666415000014
1069,42383.401855000004
1070,39876.609775000004
1071,38689.16713500001
1072,296115.545755
1073,342612.77163499995
1074,330858.22755499993
1075,315521.594075
1076,320240.8411100001
1077,344333.91823000007
1078,339009.9735100001
1079,328802.7841500001
1080,9655.504745000002
1081,10259.067585
1082,10044.471745
1083,9498.625785
1084,-16876.2111
1085,-17271.49762
1086,-17399.231460000003
1087,-15185.999220000002
1088,31447.927285000012
1089,34518.074765
1090,26388.101404999994
1091,31089.95808499999
1092,191794.14635499998
1093,213478.515915
1094,189103.39839499997
1095,195083.86691500002
1096,372291.55516499997
1097,405415.937285
1098,395444.22904500004
1099,380421.561725
1100,226170.53775999998
1101,263518.4318
1102,253733.81748000003
1103,236847.84016000002
1104,309245.01953999995
1105,351716.79829999997
1106,345317.3017399999
1107,325938.25914
1108,249704.32667500008
1109,278750.586955
1110,274404.802395
1111,257360.64519500005
1112,176947.16281999997
1113,203663.45678
1114,200591.26174
1115,183368.42193999997
1116,269382.48306
1117,302712.01717999997
1118,292407.6676599999
1119,264758.33198
1120,332886.23095500027
1121,411206.403195
1122,388154.70187500026
1123,345109.71567500033
1124,345298.20111000026
1125,422969.19279
1126,397793.99147
1127,354498.8975900002
1128,187157.9445000001
1129,234376.72918000002
1130,236998.74498000008
1131,197698.77786000003
1132,40458.92689999999
1133,52985.174020000006
1134,48980.677660000016
1135,43986.259499999986
1136,85902.03723500005
1137,111420.900915
1138,107017.23579499999
1139,98472.54391500005
1140,115144.88518500008
1141,149784.79734500003
1142,142874.977305
1143,129043.15454500006
1144,27366.23676
1145,39853.5778
1146,39678.26252000002
1147,34969.18444
1148,26321.197490000006
1149,29625.61829
1150,26187.718569999997
1151,25579.252569999997
1152,147552.96307499998
1153,204572.99779499992
1154,187658.25703499996
1155,175348.42563499993
1156,179345.17576
1157,207367.23272000003
1158,192361.51376000012
1159,184287.10076000006
1160,4698.281459999998
1161,5107.46434
1162,4893.884740000003
1163,4613.56914
1164,-7108.32001000001
1165,-7668.125330000006
1166,-7905.634650000007
1167,-5139.480290000003
1168,43104.76461
1169,46511.97757
1170,39513.70937
1171,43200.85081
1172,151067.77897499996
1173,173678.16845499998
1174,148756.52581499988
1175,153038.62529499992
1176,215480.7773200001
1177,253377.86560000002
1178,232170.87604
1179,219665.96224000002
1180,114310.91804999998
1181,159624.85528999998
1182,148393.53933
1183,126721.64225000003
1184,147817.43950500002
1185,199365.99022499984
1186,187520.3213849999
1187,164889.41790500004
1188,112593.50713000004
1189,149015.25393
1190,141033.95269
1191,121613.43857
1192,89196.88983499998
1193,121260.94803500001
1194,116231.58463499998
1195,97209.58887500002
1196,157673.62517000013
1197,195939.1879700001
1198,184377.62157000002
1199,154273.15297000005
1200,965676.9039250001
1201,1012026.298405
1202,1011768.011445
1203,975960.756485
1204,956747.256125
1205,1004676.252565
1206,1006304.014245
1207,969566.4018849999
1208,642383.206625
1209,667891.720065
1210,690426.750985
1211,657371.2554649999
1212,127098.713605
1213,134837.569805
1214,133037.547685
1215,129200.52280499999
1216,319537.98337000003
1217,336384.79345
1218,334101.51137
1219,325020.84965
1220,382127.780795
1221,403181.13087500003
1222,407910.541875
1223,394720.61991500005
1224,111572.341865
1225,120530.351185
1226,124529.916825
1227,118969.964865
1228,65372.640665
1229,69386.393825
1230,69402.075505
1231,67129.794265
1232,474831.590585
1233,514859.359225
1234,511039.500505
1235,494959.89330500003
1236,464853.084975
1237,483047.213335
1238,487525.320695
1239,475290.81229500007
1240,14020.61216
1241,14789.633720000002
1242,14661.505760000002
1243,13996.037520000002
1244,-21651.877195
1245,-21656.445195
1246,-21530.656235000002
1247,-19673.983034999997
1248,69719.09526
1249,72008.43462
1250,67002.54838
1251,69620.59461999999
1252,327642.87805
1253,343691.88465
1254,332010.61825
1255,331244.03609
1256,543365.629315
1257,569300.1668750001
1258,571255.750435
1259,554122.6241550001
1260,368081.127515
1261,395637.91231499997
1262,391228.853355
1263,377366.726075
1264,480758.573445
1265,512752.543085
1266,512780.749085
1267,495988.295765
1268,374163.451365
1269,395969.544645
1270,395040.584565
1271,380468.326365
1272,276113.46193
1273,295021.68224999995
1274,293573.45213
1275,280980.58933
1276,424077.35485
1277,449987.99737
1278,443044.22809
1279,419007.06480999995
1280,1014667.6227950001
1281,1064265.444715
1282,1076288.974355
1283,1036056.160915
1284,1007090.4775950001
1285,1057538.3739550002
1286,1070662.9207950002
1287,1029151.4140350001
1288,728004.617935
1289,756436.518855
1290,794473.266335
1291,753906.644135
1292,126484.025525
1293,134172.927685
1294,133763.642285
1295,129426.324165
1296,308426.866335
1297,326008.09693500004
1298,326598.007255
1299,317590.798735
1300,404418.27824500005
1301,426280.001165
1302,436620.08536500006
1303,421625.60484499997
1304,118172.404105
1305,127001.000145
1306,133249.702785
1307,127040.435505
1308,60510.2607
1309,64178.4059
1310,63930.4637
1311,62165.21566
1312,470815.09904
1313,506905.26036
1314,508550.71928
1315,491111.68108
1316,501328.135895
1317,521198.965215
1318,531826.815255
1319,517993.66329500003
1320,12748.714665
1321,13394.338585
1322,13264.960865000001
1323,12673.650945000001
1324,-23830.471055
1325,-24244.093135000003
1326,-24427.182695000003
1327,-22487.466295
1328,62371.326915
1329,64606.411355
1330,58676.88459500001
1331,62015.74059500001
1332,327287.30253
1333,345388.30717000004
1334,332967.2574100001
1335,334908.56377
1336,593836.782445
1337,620203.484965
1338,630220.8391249999
1339,610328.105325
1340,360305.12948500004
1341,387746.24244500004
1342,384774.912045
1343,370439.39188500005
1344,481950.97651500005
1345,514081.95723500004
1346,518117.49575500004
1347,500029.686875
1348,380384.42744
1349,402566.04752
1350,405649.14868000004
1351,389704.48832
1352,282411.753055
1353,301779.358655
1354,303134.837015
1355,288665.19605499995
1356,429240.14078
1357,455388.8731
1358,452562.09662
1359,427206.64054000005
1360,934201.4952400001
1361,987879.8094000001
1362,991467.3805200001
1363,951693.7849600001
1364,923626.01685
1365,979375.52577
1366,984206.18497
1367,942548.60177
1368,651768.146095
